id,long,lat
30TWN1,-2.690000,43.130000
30TWN2,-2.690000,42.680000
30TWN3,-2.080000,43.120000
30TWN4,-2.080000,42.670000
30TWP2,-2.690000,43.580000
30TWS1,-2.670000,46.730000
30TWS3,-2.020000,46.720000
30TWT1,-2.670000,47.630000
30TWT2,-2.670000,47.180000
30TWT3,-2.000000,47.620000
30TWT4,-2.010000,47.170000
30TXK1,-1.530000,40.420000
30TXK3,-0.940000,40.410000
30TXL1,-1.510000,41.320000
30TXL2,-1.520000,40.870000
30TXL3,-0.910000,41.310000
30TXL4,-0.920000,40.860000
30TXM1,-1.490000,42.220000
30TXM2,-1.500000,41.770000
30TXM3,-0.880000,42.210000
30TXM4,-0.890000,41.760000
30TXN1,-1.460000,43.120000
30TXN2,-1.470000,42.670000
30TXN3,-0.850000,43.110000
30TXN4,-0.860000,42.660000
30TXP1,-1.440000,44.020000
30TXP2,-1.450000,43.570000
30TXP3,-0.820000,44.010000
30TXP4,-0.830000,43.560000
30TXQ1,-1.420000,44.920000
30TXQ2,-1.430000,44.470000
30TXQ3,-0.780000,44.910000
30TXQ4,-0.800000,44.460000
30TXR1,-1.390000,45.820000
30TXR2,-1.400000,45.370000
30TXR3,-0.750000,45.810000
30TXR4,-0.770000,45.360000
30TXS1,-1.360000,46.720000
30TXS2,-1.380000,46.270000
30TXS3,-0.710000,46.710000
30TXS4,-0.730000,46.260000
30TXT1,-1.340000,47.620000
30TXT2,-1.350000,47.170000
30TXT3,-0.670000,47.600000
30TXT4,-0.690000,47.160000
30TYK1,-0.320000,40.390000
30TYL1,-0.310000,41.290000
30TYL2,-0.310000,40.840000
30TYM1,-0.290000,42.200000
30TYM2,-0.300000,41.740000
30TYN1,-0.270000,43.100000
30TYN2,-0.280000,42.650000
30TYP1,-0.250000,44.000000
30TYP2,-0.260000,43.550000
30TYQ1,-0.230000,44.890000
30TYQ2,-0.240000,44.450000
30TYR1,-0.210000,45.790000
30TYR2,-0.220000,45.340000
30TYS1,0.000000,46.690000
30TYS2,0.000000,46.240000
30TYT1,0.000000,47.590000
30TYT2,0.000000,47.140000
30UUA1,-5.550000,50.300000
30UUA2,-5.430000,49.850000
30UUA3,-4.760000,50.310000
30UUB3,-4.790000,51.210000
30UUB4,-4.770000,50.760000
30UUC1,-5.600000,52.100000
30UUC2,-5.580000,51.650000
30UUC3,-4.830000,52.110000
30UUC4,-4.810000,51.660000
30UUD3,-4.860000,53.010000
30UUE3,-4.900000,53.910000
30UUE4,-4.880000,53.460000
30UUF1,-5.670000,54.790000
30UUF2,-5.650000,54.340000
30UUF3,-4.940000,54.810000
30UUF4,-4.920000,54.360000
30UUG1,-5.690000,55.690000
30UUG2,-5.680000,55.240000
30UUG3,-4.990000,55.700000
30UUG4,-4.970000,55.260000
30UUU1,-5.370000,48.500000
30UUU3,-4.690000,48.520000
30UUU4,-4.680000,48.070000
30UVA1,-4.050000,50.320000
30UVA3,-3.350000,50.330000
30UVB1,-4.070000,51.220000
30UVB2,-4.060000,50.770000
30UVB3,-3.360000,51.230000
30UVB4,-3.350000,50.780000
30UVC1,-4.100000,52.120000
30UVC2,-4.080000,51.670000
30UVC3,-3.370000,52.130000
30UVC4,-3.360000,51.680000
30UVD1,-4.120000,53.020000
30UVD2,-4.110000,52.570000
30UVD3,-3.370000,53.020000
30UVD4,-3.370000,52.570000
30UVE2,-4.130000,53.470000
30UVE3,-3.380000,53.920000
30UVE4,-3.380000,53.470000
30UVF1,-4.170000,54.820000
30UVF2,-4.150000,54.370000
30UVF3,-3.390000,54.820000
30UVF4,-3.380000,54.370000
30UVG1,-4.190000,55.710000
30UVG2,-4.180000,55.270000
30UVG3,-3.400000,55.720000
30UVG4,-3.390000,55.270000
30UVU1,-4.020000,48.520000
30UVU2,-4.010000,48.070000
30UVU3,-3.340000,48.530000
30UVU4,-3.340000,48.080000
30UVV4,-3.340000,48.980000
30UWA4,-1.960000,49.870000
30UWB1,-2.640000,51.230000
30UWB2,-2.650000,50.780000
30UWB3,-1.930000,51.220000
30UWB4,-1.940000,50.770000
30UWC1,-2.630000,52.130000
30UWC2,-2.640000,51.680000
30UWC3,-1.900000,52.120000
30UWC4,-1.920000,51.670000
30UWD1,-2.630000,53.020000
30UWD2,-2.630000,52.570000
30UWD3,-1.880000,53.020000
30UWD4,-1.890000,52.570000
30UWE1,-2.620000,53.920000
30UWE2,-2.620000,53.470000
30UWE3,-1.860000,53.920000
30UWE4,-1.870000,53.470000
30UWF1,-2.610000,54.820000
30UWF2,-2.620000,54.370000
30UWF3,-1.830000,54.820000
30UWF4,-1.850000,54.370000
30UWG1,-2.600000,55.720000
30UWG2,-2.610000,55.270000
30UWG3,-1.810000,55.710000
30UWG4,-1.820000,55.270000
30UWU1,-2.660000,48.530000
30UWU2,-2.660000,48.080000
30UWU3,-1.980000,48.520000
30UWU4,-1.990000,48.070000
30UWV1,-2.660000,49.430000
30UWV3,-1.970000,49.420000
30UWV4,-1.980000,48.970000
30UXA2,-1.260000,49.860000
30UXB1,-1.210000,51.210000
30UXB2,-1.230000,50.760000
30UXB3,-0.430000,51.200000
30UXB4,-0.440000,50.750000
30UXC1,-1.170000,52.110000
30UXC2,-1.190000,51.660000
30UXC3,-0.400000,52.100000
30UXC4,-0.420000,51.650000
30UXD1,-1.140000,53.010000
30UXD2,-1.160000,52.560000
30UXD3,-0.380000,53.000000
30UXD4,-0.390000,52.550000
30UXE1,-1.100000,53.910000
30UXE2,-1.120000,53.460000
30UXE3,-0.360000,53.890000
30UXE4,-0.370000,53.450000
30UXF1,-1.060000,54.810000
30UXF2,-1.080000,54.360000
30UXF4,-0.350000,54.340000
30UXU1,-1.310000,48.520000
30UXU2,-1.320000,48.070000
30UXU3,-0.630000,48.500000
30UXU4,-0.650000,48.050000
30UXV1,-1.280000,49.410000
30UXV2,-1.290000,48.970000
30UXV3,-0.590000,49.400000
30UXV4,-0.610000,48.950000
30UYU1,0.000000,48.490000
30UYU2,0.000000,48.040000
30VUH1,-5.720000,56.590000
30VUH2,-5.710000,56.140000
30VUH3,-5.040000,56.600000
30VUH4,-5.010000,56.150000
30VUJ3,-5.090000,57.500000
30VUJ4,-5.060000,57.050000
30VUK3,-5.140000,58.400000
30VUK4,-5.110000,57.950000
30VVH1,-4.220000,56.610000
30VVH2,-4.210000,56.160000
30VVH3,-3.410000,56.620000
30VVH4,-3.400000,56.170000
30VVJ1,-4.250000,57.510000
30VVJ2,-4.240000,57.060000
30VVJ3,-3.420000,57.520000
30VVJ4,-3.410000,57.070000
30VVK1,-4.280000,58.410000
30VVK2,-4.270000,57.960000
30VVK3,-3.430000,58.420000
30VVK4,-3.420000,57.970000
30VVL3,-3.440000,59.310000
